A	B	C	D	term
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00844	HK; hexokinase [EC:2.7.1.1]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K12407	GCK; glucokinase [EC:2.7.1.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00845	glk; glucokinase [EC:2.7.1.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K25026	glk; glucokinase [EC:2.7.1.2]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K06859	pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K24182	PFK9; 6-phosphofructokinase [EC:2.7.1.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K16370	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00895	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K02446	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]
